time,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,divergence,geopotential,mean_sea_level_pressure,relative_humidity,specific_humidity,temperature,total_cloud_cover,total_column_water_vapour,u_component_of_wind,v_component_of_wind,vertical_velocity,wind_speed,total_precipitation
03-06-1960,-2.5483809,-2.9068809,278.47836,-1.796922e-06,79362.3,103042.33,0.3376573,0.00087182166,242.35956,0.45231733,11.119738,23.046267,-12.099728,0.04541491,27.445208,0.0
03-07-1960,-2.2401428,-0.5310149,281.4876,-1.6970077e-06,79580.984,102822.59,0.3797913,0.0014786132,243.44554,0.8963767,18.882442,21.25726,-12.88441,0.016050795,26.016768,5.384528
03-08-1960,-3.4143505,-1.2001812,282.24268,-4.494305e-06,79676.67,102698.4,0.41623873,0.0017120863,243.93411,0.8285844,20.235538,18.61117,-13.050119,0.09676348,24.315805,1.5142756
03-09-1960,0.46335894,5.115627,289.0838,-2.7162487e-06,79577.92,101667.14,0.37873074,0.00228728,245.81445,0.6621255,25.401253,23.29376,-2.7645063,-0.03180661,26.342411,2.2674394
03-10-1960,-1.1967473,0.28051716,289.16772,5.0076596e-07,79527.53,101417.96,0.36707702,0.002307414,246.26488,0.88930935,24.629364,19.705862,-3.1919186,-0.03821025,21.102722,1.8259734
03-11-1960,-0.30969885,-0.65524065,288.89117,-6.2134734e-07,79328.53,101297.83,0.4348738,0.0024473604,246.18951,0.8539232,25.86685,23.62422,-1.8323983,-0.024253033,24.912708,1.388726
03-12-1960,-2.4679651,-5.80234,282.70343,-6.4035925e-07,79271.38,102220.09,0.288758,0.0010042253,243.96371,0.35515416,11.921472,21.47761,-6.295412,0.052025177,25.182198,4.715368e-06
03-13-1960,-3.2959714,-3.1199284,282.71747,-2.089341e-06,79415.03,102492.625,0.28422415,0.0009528509,243.87582,0.11742378,12.532337,21.439852,-5.996811,0.023429066,24.08329,0.0
03-14-1960,-3.6407306,0.56091523,284.7367,-3.399697e-06,79611.99,102297.555,0.3203367,0.0013601189,244.72469,0.5027287,18.14774,21.896456,-2.5991416,0.025478918,24.179934,0.02186377
03-15-1960,-1.3265774,3.3640532,289.71588,-1.01976184e-07,79579.92,101175.28,0.4709461,0.0030162507,247.11917,0.99365056,33.63655,24.944887,4.476437,-0.17853655,26.842024,17.485657
03-16-1960,1.8572725,-1.0460031,288.61957,-5.07919e-07,79101.62,100822.125,0.3678653,0.0019481549,247.18427,0.7158653,19.594988,29.780485,11.446901,-0.025620993,32.696896,2.1346664
03-17-1960,-0.083508015,-4.7521963,286.34137,7.8181523e-07,78812.984,101265.875,0.3013167,0.0011907571,245.59247,0.6312754,12.424167,24.718285,13.627336,-0.045914367,31.023836,0.017132133
03-18-1960,2.5410504,-4.648555,282.51923,3.566643e-06,78283.625,101720.586,0.24011265,0.00082851085,243.6099,0.4025774,9.76012,27.294312,12.63348,0.064633586,32.96879,0.26626584
03-19-1960,5.4830103,1.2278206,286.4512,-1.5050156e-06,78628.016,101735.664,0.19964236,0.0009975563,244.48553,0.05801706,10.548894,29.812542,3.2425587,0.13811615,31.26375,0.041966815
03-20-1960,2.5323076,-1.6424687,285.78265,7.109054e-07,79007.04,102301.83,0.21502055,0.0009455075,243.91928,0.07618792,10.718803,27.188292,-1.9027984,0.14355582,29.42811,2.6077036e-05
03-21-1960,0.20938647,-1.7757595,286.26428,-8.456363e-07,79402.58,102604.68,0.26324683,0.0012189691,243.92836,0.041093525,14.48999,20.499641,-5.909851,0.052990947,22.766232,0.002770494
03-22-1960,1.3364811,-0.044796735,286.60608,-1.0766847e-06,79416.71,102465.85,0.18943653,0.0009665313,244.40964,8.616223e-05,10.827451,13.463739,-8.517266,0.04851893,16.6821,4.656614e-06
03-23-1960,3.1087184,0.8399551,290.31567,-2.2119464e-06,79489.65,102014.75,0.2787398,0.0017540175,245.84183,0.1878137,18.079699,15.033539,-8.465486,0.03535277,17.72929,0.0436689
03-24-1960,2.705758,2.549738,291.29297,-1.1602881e-06,79523.516,101827.15,0.29551554,0.0017012352,246.10133,0.21912448,17.900385,24.802917,-6.0234733,0.043039843,26.215511,0.02581886
03-25-1960,0.06506345,1.3850791,290.64075,-2.7063625e-06,79498.55,101752.36,0.36865914,0.0018125575,246.09679,0.46369076,18.390366,25.048525,-0.35324785,-0.020268042,26.04715,0.51714927
03-26-1960,-1.639668,1.4663827,291.4339,-2.742895e-06,79708.91,101856.09,0.5063716,0.0026486735,246.19914,0.9656846,28.856167,23.466295,3.9463828,-0.06850466,24.86852,2.8717678
03-27-1960,-3.0059972,2.059967,291.85626,1.8835995e-06,80034.195,102029.88,0.45891893,0.0028885247,246.73209,0.7993867,31.724438,16.716305,6.790449,-0.13552356,20.671326,19.120737
